"fid","org_fid","distance","x","y"
"1","19",0,233072.191,316655.092
"2","19",0.5,233072.164703167,316655.591307998
"3","19",1,233072.138406335,316656.090615995
"4","19",1.5,233072.112109502,316656.589923993
"5","19",2,233072.08581267,316657.089231991
"6","19",2.5,233072.059515837,316657.588539989
"7","19",3,233072.033219005,316658.087847986
"8","19",3.5,233072.006922172,316658.587155984
"9","19",4,233071.980625339,316659.086463982
"10","19",4.5,233071.954328507,316659.58577198
"11","19",5,233071.928031674,316660.085079977
"12","19",5.5,233071.901734842,316660.584387975
"13","19",6,233071.875438009,316661.083695973
"14","19",6.5,233071.849141176,316661.583003971
"15","19",7,233071.822844344,316662.082311968
"16","19",7.5,233071.796547511,316662.581619966
"17","19",8,233071.770250679,316663.080927964
"18","19",8.5,233071.743953846,316663.580235961
"19","19",9,233071.717657014,316664.079543959
"20","19",9.5,233071.691360181,316664.578851957
"21","19",10,233071.665063348,316665.078159955
"22","19",10.5,233071.638766516,316665.577467952
"23","19",11,233071.612469683,316666.07677595
"24","19",11.5,233071.586172851,316666.576083948
"25","19",12,233071.559876018,316667.075391946
"26","19",12.5,233071.533579186,316667.574699943
"27","19",13,233071.507282353,316668.074007941
"28","19",13.5,233071.48098552,316668.573315939
"29","19",14,233071.454688688,316669.072623936
"30","19",14.5,233071.428391855,316669.571931934
"31","19",15,233071.402095023,316670.071239932
"32","19",15.5,233071.37579819,316670.57054793
"33","19",16,233071.349501358,316671.069855927
"34","19",16.5,233071.323204525,316671.569163925
"35","19",17,233071.296907692,316672.068471923
"36","19",17.5,233071.27061086,316672.567779921
"37","19",18,233071.244314027,316673.067087918
"38","19",18.5,233071.218017195,316673.566395916
"39","19",19,233071.191720362,316674.065703914
"40","19",19.5,233071.165423529,316674.565011911
"41","19",20,233071.139126697,316675.064319909
"42","19",20.5,233071.112829864,316675.563627907
"43","19",21,233071.086533032,316676.062935905
"44","19",21.5,233071.060236199,316676.562243902
"45","19",22,233071.033939367,316677.0615519
"46","19",22.5,233071.007642534,316677.560859898
"47","19",23,233070.981345701,316678.060167896
"48","19",23.5,233070.955048869,316678.559475893
"49","19",24,233070.928752036,316679.058783891
"50","19",24.5,233070.902455204,316679.558091889
"51","19",25,233070.876158371,316680.057399886
"52","19",25.5,233070.849861539,316680.556707884
"53","19",26,233070.823564706,316681.056015882
"54","19",26.5,233070.797267873,316681.55532388
"55","19",27,233070.770971041,316682.054631877
"56","19",27.5,233070.744674208,316682.553939875
"57","19",28,233070.718377376,316683.053247873
"58","19",28.5,233070.692080543,316683.552555871
"59","19",29,233070.665783711,316684.051863868
"60","19",29.5,233070.639486878,316684.551171866
"61","19",30,233070.613190045,316685.050479864
"62","19",30.5,233070.586893213,316685.549787862
"63","19",31,233070.56059638,316686.049095859
"64","19",31.5,233070.534299548,316686.548403857
"65","19",32,233070.508002715,316687.047711855
"66","19",32.5,233070.481705882,316687.547019852
"67","19",33,233070.45540905,316688.04632785
"68","19",33.5,233070.429112217,316688.545635848
"69","19",34,233070.402815385,316689.044943846
"70","19",34.5,233070.376518552,316689.544251843
"71","19",35,233070.35022172,316690.043559841
"72","19",35.5,233070.323924887,316690.542867839
"73","19",36,233070.297628054,316691.042175837
"74","19",36.1640512111144,233070.289,316691.206
