fid,org_fid,distance,x,y
"1","21",0,233081.692,316668.618
"2","21",0.5,233081.193416038,316668.580396372
"3","21",1,233080.694832076,316668.542792744
"4","21",1.5,233080.196248114,316668.505189117
"5","21",2,233079.697664152,316668.467585489
"6","21",2.5,233079.199177154,316668.428718409
"7","21",3,233078.700693969,316668.389801649
"8","21",3.5,233078.202402895,316668.348503206
"9","21",4,233077.704268418,316668.305377454
"10","21",4.5,233077.206402695,316668.259275775
"11","21",5,233076.708943211,316668.208969805
"12","21",5.5,233076.211942638,316668.154325952
"13","21",6,233075.715556276,316668.094364025
"14","21",6.5,233075.220119657,316668.027013562
"15","21",7,233074.725542865,316667.95360343
"16","21",7.5,233074.231848137,316667.87447765
"17","21",8,233073.739287369,316667.788573634
"18","21",8.5,233073.247760434,316667.696941595
"19","21",9,233072.757536866,316667.59858059
"20","21",9.5,233072.268978639,316667.492302014
"21","21",10,233071.783208218,316667.373972934
"22","21",10.5,233071.300874331,316667.242322074
"23","21",11,233070.82320961,316667.094679789
"24","21",11.5,233070.351226243,316666.929825735
"25","21",12,233069.887823675,316666.74230286
"26","21",12.5,233069.437535423,316666.525136749
"27","21",13,233069.003915789,316666.27638173
"28","21",13.5,233068.590303339,316665.995668023
"29","21",14,233068.1965799,316665.68753265
"30","21",14.5,233067.811357477,316665.368800249
"31","21",15,233067.433672299,316665.041171487
"32","21",15.5,233067.062937955,316664.70569762
"33","21",16,233066.699593191,316664.36227065
"34","21",16.5,233066.351467773,316664.00343938
"35","21",17,233066.022060282,316663.62734726
"36","21",17.5,233065.709742348,316663.236980422
"37","21",18,233065.414145754,316662.833776053
"38","21",18.5,233065.143057497,316662.413904567
"39","21",19,233064.908435267,316661.972637634
"40","21",19.5,233064.707936884,316661.51474352
"41","21",20,233064.533713812,316661.046177185
"42","21",20.5,233064.386121434,316660.568524491
"43","21",21,233064.259030182,316660.085011281
"44","21",21.5,233064.147305538,316659.597681496
"45","21",22,233064.047066527,316659.107857097
"46","21",22.5,233063.958046447,316658.615863712
"47","21",23,233063.879984771,316658.122004851
"48","21",23.5,233063.815692745,316657.626155544
"49","21",24,233063.761232198,316657.12913156
"50","21",24.5,233063.714874099,316656.631296786
"51","21",25,233063.671152096,316656.133216887
"52","21",25.5,233063.631356836,316655.634803066
"53","21",26,233063.591561576,316655.136389245
"54","21",26.4468066751988,233063.556,316654.691
